role,force,is_technological,is_physical,is_leadership
eshkol diagnosis of manpower_the psychotechnical array,general,no,no,no
eshkol diagnosis of manpower_diagnoses of behavioral sciences,general,no,no,no
eshkol diagnosis of manpower_interviewer edit,general,no,no,no
eshkol speaking and linking_responsible for speaking,general,no,no,no
eshkol speaking and linking_laying link to forces,general,no,no,no
eshkol speaking and linking_service representative,general,no,no,no
eshkol technical technical professions_the technical system in the air force,air,yes,no,no
eshkol technical technical professions_the technical system in the tech force,general,yes,no,no
eshkol technical technical professions_electronics projects,general,yes,no,no
eshkol technical technical professions_navy and engine expert,navy,yes,yes,no
eshkol technical technical professions_tactical attention run,ground,yes,no,no
eshkol communications professions_responsible for marine communication,navy,yes,yes,no
eshkol communications professions_the technical system in the air force,air,yes,no,no
eshkol communications professions_operational digital technician,general,yes,yes,no
eshkol organization and management_examining ammunition,ground,yes,yes,no
eshkol organization and management_optical technician,general,yes,yes,no
eshkol organization and management_strategic security in the facilities,general,no,yes,no
eshkol organization and management_security facilities,general,no,yes,no
eshkol organization and management_administration of aviation and environment,air,no,no,no
eshkol organization and management_administrative array in technology wing,general,no,no,no
eshkol organization and management_the administrative array in the intelligence force,general,no,no,no
eshkol organization and management_driving fluent security,ground,yes,yes,no
eshkol organization and management_light car driver,ground,yes,yes,no
eshkol education role teaching and training_cluster of mentoring roles,general,no,no,yes
eshkol education role teaching and training_base teen counselor,general,no,no,yes
eshkol education role teaching and training_soldier teacher,general,no,no,no
eshkol education role teaching and training_education and knowledge coordinator,general,no,no,no
eshkol of logistics and maintenance_responsible for inventory management,general,no,no,no
eshkol of logistics and maintenance_checking electronics equipment,general,yes,no,no
eshkol of logistics and maintenance_examining ammunition,general,yes,yes,no
eshkol of logistics and maintenance_optical technician,general,yes,yes,no
eshkol of logistics and maintenance_from parachute maintenance,ground,yes,no,no
eshkol of logistics and maintenance_from light weapons maintainer,ground,yes,yes,no
eshkol of logistics and maintenance_responsible for logistics,general,no,no,no
eshkol of logistics and maintenance_responsible for kosher,general,no,no,no
eshkol of logistics and maintenance_routine border guard driver,ground,yes,yes,no
eshkol of logistics and maintenance_supplier of the technology wing,general,no,no,no
eshkol operations and intelligence_eshkol air force functions,air,no,no,no
eshkol operations and intelligence_field intelligence collection,ground,yes,yes,no
