coded_semel,semel,num,YESHUV_CODE,"prec_recruitment",total
16,5000,30407.33712,1282,0.695,21133.0993
24,3000,75808.07363,1091,0.228,17284.24079
12,8300,19865.97518,1048,0.794,15773.58429
62,7900,24380.76158,906,0.561,13677.60725
39,4000,18415.45378,863,0.723,13314.37308
4,3797,15384.42612,851,0.81,12461.38516
11,6600,16889.23068,784,0.713,12042.02147
48,9000,16896.73486,688,0.679,11472.88297
10,7400,19926.90791,667,0.53,10561.26119
32,1200,12911.59655,629,0.81,10458.39321
93,70,23463.25861,605,0.444,10417.68682
57,8600,11253.65286,523,0.795,8946.654024
26,8400,14665.68428,456,0.582,8535.428251
14,3780,12063.87449,454,0.640059701,7721.599905
59,6900,9799.994179,439,0.772,7565.595506
40,6400,8209.497001,436,0.8,6567.597601
0,1309,10014.02365,420,0.640059701,6409.572988
22,9700,6829.864448,379,0.88,6010.280714
41,6500,8531.05995,341,0.676,5766.996526
13,8700,8094.362812,291,0.684,5536.544163
31,6200,8422.285008,290,0.649,5466.06297
117,7200,5788.712629,265,0.8,4630.970103
162,2650,5118.379551,252,0.87,4452.990209
52,2610,21294.47933,247,0.206,4386.662742
19,2620,4561.359633,240,0.857,3909.085205
76,6300,4652.81715,229,0.83,3861.838235
90,2640,5541.175412,225,0.687,3806.787508
110,6800,5066.718036,216,0.677,3430.16811
71,9100,4872.718018,216,0.703,3425.520767
17,2630,5603.865887,209,0.611,3423.962057
23,8500,5880.124009,206,0.576,3386.951429
53,7000,5557.225439,201,0.597,3317.663587
42,2660,4808.318115,195,0.683,3284.081273
47,7800,4868.293167,194,0.640059701,3115.998271
5,2600,4062.8037,191,0.748,3038.977168
111,7700,4394.343595,182,0.667,2931.027178
51,3616,4587.16284,175,0.609,2793.58217
61,1139,3510.63734,172,0.792,2780.424773
20,8200,3412.302835,170,0.799,2726.429965
77,9500,3216.665972,170,0.784,2521.866122
120,9400,3025.562239,154,0.79,2390.194169
107,2550,3592.062779,151,0.640059701,2299.13463
36,2200,3359.766883,149,0.677,2274.56218
80,6700,4242.061969,147,0.52,2205.872224
100,2400,3437.360321,145,0.61,2096.789796
87,166,3023.169374,145,0.683,2064.824682
123,7600,2964.7009,143,0.693,2054.537724
130,9600,2679.244364,143,0.713,1910.301232
138,240,2477.999246,137,0.75,1858.499435
33,9300,2845.608066,133,0.640059701,1821.359049
9,2530,2802.637614,130,0.640059701,1793.855395
145,195,2735.524816,126,0.640059701,1750.899197
160,168,2696.350083,123,0.640059701,1725.825029
79,1304,2639.712143,123,0.640059701,1689.573366
153,3730,2523.835218,120,0.640059701,1615.405216
170,229,2370.993514,117,0.640059701,1517.577401
37,874,2382.62008,115,0.617,1470.076589
102,1015,2278.991177,112,0.640059701,1458.690412
148,246,5044.024896,112,0.281,1417.370996
156,2560,2206.029847,106,0.637,1405.241013
29,28,2137.602095,101,0.640059701,1368.192959
2,1061,2106.727489,96,0.640059701,1348.431368
240,2500,1643.592042,94,0.795,1306.655673
