semel,total,age 6-18
0,18367,523
7,773,192
10,465,96
11,601,150
13,687,163
15,444,99
16,680,208
18,628,162
21,994,354
22,212,33
23,347,85
24,805,207
26,3340,640
27,399,109
28,16012,4281
29,1709,359
31,32354,7094
32,620,121
33,667,175
35,506,70
36,619,132
37,516,115
38,4,0
39,384,89
41,3749,811
43,1758,246
44,388,75
46,4440,1373
47,4685,1110
48,1238,203
49,603,103
52,777,237
53,8296,1884
55,593,135
57,849,147
58,168,17
59,1472,613
62,688,96
63,673,111
64,1223,271
65,2020,427
66,1330,320
67,923,202
69,492,91
70,253322,51294
71,652,180
72,1211,188
74,679,127
76,746,124
77,1139,242
78,397,59
79,802,181
80,1039,212
82,913,161
84,553,136
85,1113,293
86,729,122
88,89,17
89,748,125
90,850,175
92,804,157
94,571,126
95,943,159
96,1835,305
97,764,168
98,392,62
99,5603,1200
102,147,32
103,1311,377
104,935,142
106,322,103
107,141,25
112,788,184
113,333,77
115,969,191
122,7869,1608
126,1148,264
127,550,105
128,280,49
130,1399,198
132,608,187
133,1012,217
134,1219,281
135,624,161
139,768,121
140,1215,312
141,401,69
142,1082,334
143,765,96
144,611,128
145,356,59
146,323,73
147,2813,628
154,13793,3622
155,1221,330
156,203,28
157,1645,444
158,1863,348
159,695,127
160,1134,365
162,1424,395
163,859,157
164,396,82
165,669,223
166,24186,6271
167,939,160
168,23281,5567
170,709,176
171,6635,1215
173,1205,225
174,781,192
175,1411,315
176,1407,218
177,1180,225
178,1167,195
182,14538,3593
183,406,81
184,1018,219
186,235,22
187,1500,356
188,674,115
189,653,194
190,1994,461
191,813,226
192,717,135
193,589,124
194,778,141
195,22744,5568
196,375,77
197,1051,178
198,1085,279
199,989,247
200,411,77
202,336,79
204,720,184
205,806,255
206,1645,367
207,412,76
208,1175,185
212,132,34
213,1003,324
217,1261,398
218,273,42
219,677,165
220,672,135
223,579,116
224,594,97
225,865,178
229,20793,4679
230,957,181
232,1439,304
233,731,200
234,1226,296
235,482,94
237,751,120
239,744,158
240,25319,5387
241,1440,281
242,1527,321
246,38487,10381
247,1310,312
248,705,170
249,1471,387
250,1234,161
252,239,37
253,645,140
254,427,81
255,726,182
256,857,183
257,579,104
259,759,196
262,736,115
263,359,59
264,635,96
265,468,70
267,2498,454
268,911,266
269,1198,308
270,1191,170
272,577,75
273,662,102
274,1441,465
276,2908,909
278,495,73
280,1007,201
281,476,98
282,1304,306
284,1460,367
285,725,106
286,873,194
287,809,86
288,1097,279
289,960,182
290,943,159
292,669,175
293,616,152
294,1174,284
295,552,107
296,245,26
297,778,128
298,550,49
300,914,174
301,666,146
302,800,160
303,733,122
304,913,157
305,508,42
306,771,215
307,985,327
308,809,209
309,1360,294
310,395,65
311,363,77
312,298,61
313,735,160
315,1065,280
316,1129,278
317,449,65
318,300,64
319,681,102
320,1233,316
322,809,156
324,593,122
325,1302,370
326,2301,502
327,1050,209
328,88,23
329,1147,293
330,492,102
331,1355,288
334,874,182
335,1110,266
336,800,147
338,400,107
339,713,167
340,857,216
342,509,101
343,395,71
344,795,164
345,652,100
346,511,93
347,261,21
348,530,79
351,2329,714
352,426,85
353,144,16
354,939,144
355,387,51
356,836,131
357,1043,214
358,928,135
359,453,60
360,651,175
362,716,153
363,644,186
364,898,267
365,770,206
366,928,187
367,810,158
368,927,247
369,568,104
370,491,56
371,102,18
372,595,130
373,764,173
374,714,181
375,1295,395
376,933,169
377,972,254
378,337,47
379,977,214
380,963,221
382,1432,252
383,685,166
385,546,72
386,1255,178
387,943,217
388,655,167
389,1162,299
390,1081,207
392,41,12
393,673,136
394,881,167
395,1170,228
396,1027,223
397,1107,196
398,387,110
399,1188,214
400,1720,629
402,731,78
403,586,63
405,1038,257
406,942,170
407,488,117
408,699,105
409,841,220
412,11,0
413,540,91
414,615,200
415,589,209
416,649,105
417,772,138
418,1205,292
419,976,257
421,608,73
422,761,172
423,874,157
424,647,142
425,1017,283
426,812,227
427,160,47
428,1042,192
429,1047,326
430,867,167
431,911,216
432,582,106
433,767,157
434,859,162
435,923,177
436,1342,260
437,1021,263
439,514,77
440,742,287
442,460,113
443,891,105
444,612,128
445,1306,378
446,1135,233
447,1934,241
448,905,226
449,1483,382
450,593,84
452,789,138
453,728,124
454,922,256
456,1313,149
457,844,127
460,694,157
462,1228,321
463,796,172
464,337,72
465,824,121
466,6995,1516
469,11366,2046
472,8120,1990
473,13513,3116
475,721,180
478,14833,3970
480,12187,2621
481,23009,5327
482,10091,2696
483,8465,2194
485,6442,1322
487,3303,633
489,10576,2690
490,12632,3362
492,10686,2566
493,92,34
494,17538,3632
496,6568,1494
497,1891,472
498,14518,3834
499,19346,4781
502,15869,3970
504,12231,3214
505,3895,976
507,10960,2271
508,3474,652
509,22715,6151
510,20196,5709
511,8321,2294
512,2761,772
514,1255,376
516,15498,4133
517,3962,718
518,3361,637
520,8731,2300
521,3623,1102
522,13388,3763
523,1940,471
524,2395,695
525,4286,1001
526,3007,764
527,352,45
528,3238,943
529,13262,3202
530,5858,1275
531,26276,7418
532,13524,3501
534,12602,2608
535,3484,617
536,6020,1200
537,13304,3368
538,7276,1814
539,1218,355
540,1266,243
541,14996,4452
542,16845,4075
543,8698,1718
546,925,233
547,1618,448
549,1020,260
553,789,176
555,544,119
559,1080,245
562,1605,413
563,920,321
564,862,222
565,13352,2265
566,13,0
567,1198,159
570,968,236
571,1150,286
572,684,105
573,521,88
574,1733,451
575,874,244
576,1178,229
577,4403,1723
578,534,63
579,1447,357
580,984,255
582,1042,192
584,1020,198
585,717,181
586,970,293
587,5232,1059
588,1435,419
589,396,69
590,476,73
591,1146,221
592,866,285
593,1032,266
594,965,282
595,758,127
596,544,101
597,790,125
598,1139,376
599,649,122
602,517,83
603,324,43
604,1039,222
605,582,168
606,1201,316
607,689,171
609,897,230
610,1144,208
612,1018,224
613,961,227
614,391,63
615,1709,463
616,1085,258
617,705,136
618,943,229
619,446,137
620,708,168
622,788,197
623,496,90
627,10454,2895
628,12188,2925
633,3865,1102
634,24087,6685
635,4242,1201
636,1844,464
637,20116,5305
638,23270,6557
648,546,74
649,2045,557
652,2823,782
654,19177,4695
658,2897,681
661,1925,536
662,1136,318
663,1264,367
664,584,127
665,798,227
666,8929,1961
667,692,127
668,904,171
670,596,131
672,713,167
673,848,188
674,785,191
675,411,78
676,410,56
677,991,185
678,427,54
679,833,243
680,778,200
681,26846,6183
682,848,177
683,1103,292
684,832,152
685,945,224
686,1388,253
687,1183,356
688,905,241
689,1155,252
690,814,204
692,917,289
693,632,128
694,2267,369
695,629,100
696,7624,2315
697,1087,308
698,1133,263
699,904,240
700,1307,313
701,714,191
702,185,11
703,548,77
705,503,108
706,828,189
707,738,204
708,820,178
709,2181,855
710,1624,304
711,1192,294
712,777,147
713,510,97
714,554,91
715,955,292
716,562,110
717,1064,253
718,1132,239
719,438,63
720,1179,412
721,650,200
722,928,199
723,868,220
726,752,180
727,888,195
729,961,192
730,663,122
731,724,194
732,802,172
734,915,227
735,797,180
736,1540,395
737,1122,265
738,392,51
739,1521,365
740,1192,311
741,665,125
742,1026,234
743,926,236
744,722,190
745,1190,369
746,1205,325
747,856,208
748,741,186
749,955,207
750,461,103
751,574,118
752,641,144
753,859,174
755,456,60
756,1177,244
757,1371,253
758,972,299
759,803,151
760,904,223
761,772,221
762,873,195
763,1980,450
764,696,171
765,741,202
766,472,169
767,1331,312
768,691,149
769,651,149
771,988,270
772,986,216
773,762,187
774,394,71
775,617,147
776,468,95
777,662,124
778,907,256
779,921,176
780,1241,254
783,706,135
784,858,184
785,961,242
786,721,159
787,1323,249
788,1167,260
789,645,159
791,1023,230
792,566,103
793,975,224
794,476,120
795,797,179
796,987,200
797,1846,489
798,943,232
799,1082,232
800,870,196
801,1024,327
802,980,216
803,618,202
804,1335,344
805,826,182
806,791,218
807,896,168
808,647,134
809,627,153
810,575,112
811,697,151
812,7083,1495
813,1078,268
814,911,256
