semel,total,others,jewish,arabs
7,895,895,884,0
10,457,457,454,0
11,563,563,547,0
13,693,684,650,9
15,363,363,355,0
16,608,608,596,0
18,778,777,759,1
21,1140,1114,1046,26
22,374,371,349,3
23,224,220,220,4
24,791,791,781,0
26,3217,3170,3082,47
27,382,382,382,0
28,15093,15085,14881,8
29,1761,1761,1727,0
31,32555,32333,30206,222
32,727,724,723,3
33,659,659,636,0
35,434,434,386,0
36,587,587,577,0
37,490,490,488,0
39,414,414,412,0
41,3484,3483,3442,1
43,1655,1590,1508,65
44,356,356,353,0
46,4333,4331,4274,2
47,4401,4380,4277,21
48,1054,1050,1022,4
49,488,484,466,4
52,835,832,817,3
53,9732,9650,9354,82
55,580,580,577,0
57,693,693,662,0
58,131,131,128,0
59,1496,1496,1494,0
62,525,524,520,1
63,695,675,654,20
64,1120,1120,1098,0
65,1979,1934,1881,45
66,1272,1272,1130,0
67,788,788,766,0
69,386,385,368,1
70,226153,225836,202329,317
71,646,646,637,0
72,942,941,924,1
74,651,648,618,3
76,686,686,648,0
77,1148,1148,1089,0
78,466,460,421,6
79,673,673,664,0
80,1181,1161,1012,20
82,777,777,759,0
84,559,559,548,0
85,1215,1214,1180,1
86,616,616,593,0
88,82,82,82,0
89,541,541,531,0
90,723,722,701,1
92,669,664,646,5
94,543,543,529,0
95,1178,1178,634,0
96,1637,1637,1535,0
97,667,667,658,0
98,325,325,319,0
99,5186,4977,4562,209
102,337,301,195,36
103,1501,1491,1467,10
104,802,802,777,0
106,334,334,332,0
107,399,381,309,18
112,837,828,817,9
113,280,280,279,0
115,801,801,789,0
122,7897,7889,7665,8
126,899,899,872,0
127,563,563,549,0
128,322,322,313,0
130,1283,1283,1207,0
132,614,614,607,0
133,933,933,919,0
134,1204,1199,1176,5
135,540,540,528,0
139,585,585,558,0
140,1224,1224,1186,0
141,411,411,410,0
142,1096,1096,1092,0
143,599,599,560,0
144,596,596,553,0
145,412,412,399,0
146,208,208,207,0
147,2686,2686,2626,0
154,13493,13489,13327,4
155,1300,1300,1277,0
156,412,409,339,3
157,1545,1544,1521,1
158,1761,1761,1720,0
159,527,525,523,2
160,1134,1134,1123,0
162,1266,1260,1252,6
163,762,762,755,0
164,389,389,384,0
165,725,725,721,0
166,23925,23851,23094,74
167,847,847,833,0
168,26182,26171,25393,11
170,683,683,682,0
171,6641,6639,6541,2
173,1027,1022,993,5
174,628,628,622,0
175,1410,1410,1369,0
176,1500,1499,1423,1
177,1270,1270,1248,0
