semel,town_type,town_social_economic_rating
528,290,22
539,450,25
997,450,34
993,450,86
1346,450,3
1360,450,4
1358,290,6
1343,450,7
1359,290,11
1349,450,47
1367,450,49
360,310,579
679,310,679
773,310,743
1366,310,39
399,330,99
1363,310,126
413,330,139
1364,370,204
403,330,212
676,330,224
713,330,252
695,330,258
69,330,259
402,330,289
1311,370,301
840,330,381
1136,350,394
1239,330,411
352,330,422
1241,310,496
1051,310,531
602,330,543
829,310,559
1227,310,580
1231,310,626
318,310,654
1223,310,661
1046,310,687
1232,310,700
1238,330,733
1237,310,745
916,310,781
1240,310,840
1058,310,960
2006,340,16
739,310,195
2011,310,294
817,310,342
763,191,365
793,310,374
756,310,542
700,310,577
406,330,676
772,310,681
727,310,692
690,310,723
1149,350,730
1157,350,762
2012,310,769
320,310,771
819,310,805
553,310,813
593,310,825
827,310,836
155,310,876
163,320,892
234,310,898
512,290,63
475,450,64
523,450,77
526,290,81
1265,330,90
397,330,169
2060,310,276
2061,310,408
396,310,535
1198,330,589
2023,330,612
2062,310,616
394,330,623
395,330,755
849,330,779
1344,370,832
598,330,841
144,330,607
562,310,727
147,193,777
615,310,905
685,310,932
196,350,941
1072,310,804
857,310,913
591,350,945
764,310,958
731,310,966
765,310,967
555,310,973
4006,320,88
4017,320,89
4005,370,102
4014,310,107
4019,310,163
4304,310,177
4007,320,196
4013,330,232
4024,370,260
4015,370,278
4011,310,287
4701,320,337
4003,330,346
4004,330,378
4101,330,414
4503,330,438
4012,310,440
4026,370,462
4301,330,464
4204,330,483
4551,310,551
4002,310,553
4021,310,581
4702,310,639
4022,330,648
4009,310,649
4028,310,668
4025,310,702
4008,310,824
4010,320,827
3653,370,52
3794,370,71
3754,370,82
3488,330,116
3561,330,120
3766,370,249
3563,190,261
3726,190,269
3602,330,329
3604,190,372
3618,190,425
3781,370,492
3725,190,499
3603,370,595
856,330,125
759,310,393
711,310,409
158,330,421
370,330,423
757,310,471
838,310,486
64,310,490
828,310,544
839,310,547
301,310,585
1333,190,622
862,310,634
435,330,720
2010,310,839
670,310,848
1050,190,862
735,310,895
610,310,900
160,330,931
743,310,935
1103,350,943
177,310,950
563,330,959
1264,350,990
156,340,26
597,330,749
159,310,797
311,310,866
853,310,873
582,310,908
202,310,964
174,310,970
1336,370,981
1076,340,227
184,330,401
718,310,447
841,310,475
705,330,532
686,310,568
716,330,619
355,330,662
1148,320,717
808,330,724
870,330,734
871,330,801
717,310,823
2015,310,828
230,310,851
1345,180,854
249,310,858
1315,190,865
206,350,885
128,350,887
218,350,902
98,310,903
284,310,918
239,310,922
207,310,929
183,310,930
722,310,942
858,310,946
2035,310,962
198,310,969
1236,370,988
547,450,37
497,450,46
635,290,48
524,290,57
86,330,104
89,330,117
636,450,118
452,330,141
113,310,175
95,330,190
145,310,198
82,330,302
1155,310,307
1108,350,334
164,310,344
442,350,347
2052,310,354
1110,350,356
2053,310,395
2054,310,404
84,330,412
165,310,439
90,330,470
141,310,472
242,330,505
1274,190,605
269,320,617
146,310,646
339,310,729
1069,310,803
833,370,812
85,310,820
667,330,53
578,330,157
1213,330,218
76,330,248
623,330,296
366,330,340
347,330,375
253,330,384
596,330,398
77,330,405
345,330,429
378,330,432
408,330,453
443,330,456
319,330,457
35,330,479
380,330,498
852,330,501
302,330,514
385,330,517
308,330,518
357,330,534
303,330,548
329,330,556
356,330,563
1211,330,632
416,330,669
453,330,683
1132,330,757
1322,340,8
585,330,50
371,340,56
307,310,142
786,310,188
1162,330,286
365,330,292
49,310,489
721,310,516
701,310,564
388,310,694
292,310,696
306,310,698
1190,370,703
255,320,718
1293,370,748
58,350,794
1258,370,853
1176,350,336
1262,370,497
13,310,506
806,310,584
1175,310,685
1151,310,790
1150,310,845
3723,370,32
3657,320,153
3748,370,155
3719,320,159
3764,370,166
3724,370,174
3756,370,184
3656,320,222
3745,320,223
3759,370,242
3784,370,251
3743,370,396
3777,370,597
3722,370,630
990,450,12
652,290,36
1321,450,41
889,350,54
890,340,69
882,340,93
178,330,105
96,330,143
237,330,333
278,330,529
254,330,538
112,310,640
220,310,775
1284,190,987
1197,330,42
1156,330,58
866,330,72
1248,330,112
1052,330,160
1255,330,262
1266,370,300
1126,330,385
1129,330,460
21,370,599
1158,330,600
334,330,35
848,340,84
1094,340,96
760,310,241
720,320,350
592,320,570
571,310,707
1084,340,78
1141,370,87
2038,310,129
450,330,135
804,310,255
618,310,383
449,310,392
257,370,403
604,310,437
802,310,484
663,310,519
745,310,552
616,310,712
784,310,746
863,310,766
673,310,874
1165,310,890
1310,190,897
606,310,936
1166,310,948
2013,310,953
448,310,954
707,320,961
107,340,79
746,310,186
820,310,194
351,350,225
747,310,229
1419,350,267
791,310,295
1376,370,379
726,310,386
573,310,510
359,330,558
1323,350,604
358,330,651
768,330,660
584,330,690
342,330,697
744,320,709
824,310,758
699,310,796
706,310,871
1242,310,878
212,340,21
694,330,59
1320,450,60
102,340,76
769,320,111
427,340,140
327,330,172
612,310,550
312,330,561
74,370,610
810,310,618
53,180,643
317,330,645
433,330,650
290,330,744
33,310,753
434,330,786
426,330,789
689,310,829
683,310,830
738,310,835
687,310,884
800,310,923
675,320,927
580,310,940
1167,180,978
287,330,130
842,330,351
232,330,434
1024,350,608
417,330,635
346,330,706
288,310,888
446,310,896
247,310,920
316,310,971
418,310,972
1324,350,974
389,310,979
1339,450,20
2045,310,407
1133,350,601
16,330,621
340,330,638
393,330,642
619,330,664
2046,310,665
315,330,705
564,330,713
293,330,765
274,330,785
888,310,957
767,310,164
170,310,219
837,310,362
2002,310,465
379,310,521
661,310,575
753,310,647
851,310,695
880,350,736
447,320,833
386,320,859
1044,350,864
549,350,901
276,190,907
187,310,909
425,310,919
157,310,938
162,310,956
32,310,115
814,310,132
36,310,231
821,310,240
1368,370,268
23,320,279
2030,310,284
1369,370,285
44,310,303
55,310,341
1374,370,455
309,350,488
7,310,493
11,310,715
1233,310,739
18,310,760
775,310,768
1365,370,780
24,310,937
730,310,299
843,310,369
2063,310,376
2009,310,494
322,310,549
861,310,573
324,310,590
1253,310,620
732,310,637
372,310,671
1252,350,741
1285,370,750
1210,310,788
130,330,66
369,330,94
270,330,154
682,310,233
703,330,245
300,330,270
250,330,293
2029,310,583
335,330,657
367,350,684
445,330,772
586,330,799
241,310,921
3786,370,182
3645,330,380
3639,310,430
3556,330,469
3610,330,659
3601,330,774
658,290,65
1246,450,74
376,330,136
1183,370,151
289,330,228
297,330,282
785,310,283
708,310,290
572,330,370
1256,370,450
280,330,537
409,330,545
576,330,562
313,330,615
589,310,652
432,330,656
595,330,658
792,310,670
674,310,673
454,330,714
579,330,719
294,330,731
390,320,737
574,330,752
463,330,767
712,310,778
1068,330,800
325,330,815
559,310,818
575,330,881
1143,350,906
282,320,910
3779,180,31
3648,320,40
3767,370,73
3752,370,83
3823,190,101
3641,190,124
3576,190,134
3765,190,144
3564,190,149
3658,370,156
3763,180,158
3709,192,165
3617,190,176
3788,190,187
3651,370,253
3659,370,254
3747,370,315
3565,370,331
3573,370,360
3787,350,504
3575,370,530
3638,190,557
3770,190,560
3715,370,591
3644,370,666
3655,370,710
3796,190,912
2039,340,23
1056,340,28
521,290,45
514,450,85
10,310,98
465,330,148
127,330,150
751,310,180
794,310,201
805,310,208
1134,320,211
816,310,226
1123,310,237
776,310,247
809,310,265
27,310,266
39,310,272
1071,310,312
52,310,335
740,310,339
859,310,352
799,310,359
796,310,389
823,310,415
864,310,420
778,310,442
567,330,451
783,310,466
1070,310,513
822,310,525
752,310,528
780,310,536
59,310,540
693,330,572
1079,310,582
825,310,587
787,310,636
919,310,682
777,330,689
771,320,699
779,310,711
78,330,725
1254,370,763
1114,350,764
460,310,782
364,310,783
1113,180,784
462,310,802
742,310,806
672,310,808
286,330,810
1043,350,846
464,330,847
710,310,879
741,310,889
1259,350,891
208,350,894
456,320,915
405,320,949
868,340,13
189,310,91
72,330,95
1316,450,108
649,450,113
2024,450,173
139,330,316
648,330,332
1370,370,348
444,330,571
617,330,578
310,330,586
344,330,603
1243,190,625
223,310,663
2055,310,667
2008,310,691
375,330,701
2003,310,822
225,310,826
213,330,857
1128,320,860
715,330,911
1184,370,221
795,310,306
281,310,324
1045,310,361
892,310,387
1220,370,441
1081,310,461
813,310,467
1147,310,473
662,310,485
1130,310,495
1219,350,500
1173,310,502
603,310,508
614,310,541
755,310,569
570,310,631
1206,370,644
774,310,721
1205,310,732
1208,370,795
1314,370,807
1338,370,27
1294,320,33
607,310,38
546,450,109
1191,370,110
688,310,133
368,350,191
1214,310,205
431,310,207
605,310,257
609,310,273
846,310,291
1115,310,309
1064,310,338
540,450,349
1229,310,390
1047,310,397
527,310,443
1297,370,480
1067,310,482
664,310,515
1230,310,527
599,330,814
1212,370,821
709,191,18
2021,340,123
2050,310,234
2059,310,318
750,310,320
2048,310,353
749,310,364
762,310,377
2049,310,448
789,310,452
736,310,476
71,310,481
1080,350,512
748,310,546
414,310,594
2047,310,722
1335,450,10
1317,450,19
1332,450,43
1245,290,44
1334,450,61
1331,450,67
1203,370,424
1112,320,474
1172,330,576
1171,330,593
1185,330,606
1209,370,624
1178,370,628
1202,370,672
1188,370,680
1275,370,708
1272,370,726
1201,370,738
1163,330,747
1180,370,761
1207,350,844
1235,320,904
1221,370,925
1181,370,926
1160,370,928
1222,370,955
1138,310,963
1228,370,965
1174,310,975
1179,370,980
1226,370,982
917,370,984
1204,370,985
1348,280,1
1347,450,5
1342,450,14
1375,450,24
2033,310,29
440,320,30
577,190,203
363,330,358
1372,310,363
1371,370,391
588,310,400
264,330,145
57,330,171
62,330,181
273,330,202
702,330,263
374,330,288
176,330,308
1105,350,319
143,330,327
262,330,328
263,330,419
79,330,428
199,330,435
188,330,436
678,330,445
1104,350,491
719,330,509
1313,350,524
330,330,598
1125,310,770
63,350,776
304,330,70
2016,310,121
1282,330,131
383,330,178
268,330,179
298,330,206
265,310,215
854,310,256
1127,330,304
296,330,310
439,330,317
48,350,343
2026,310,345
1283,370,373
2057,310,399
590,330,417
305,330,487
256,330,503
343,330,507
295,330,522
437,330,566
272,330,588
259,330,613
1318,340,15
186,340,97
897,340,128
235,310,238
197,330,243
217,310,264
224,350,325
252,310,371
872,310,406
422,310,410
194,330,418
167,330,426
173,330,427
204,310,478
850,310,533
2018,330,627
423,330,678
377,330,740
1319,180,742
698,310,759
737,310,773
758,330,791
680,310,819
1361,350,831
2043,330,849
734,310,850
193,310,855
382,310,856
387,310,863
233,310,868
205,310,869
1102,350,870
877,320,880
807,310,882
697,310,883
175,310,899
200,310,914
191,310,916
373,310,917
326,191,933
219,310,934
190,191,947
115,350,951
1077,310,983
942,450,17
994,450,62
106,310,147
1249,330,388
142,310,413
457,330,433
407,330,444
104,330,446
285,330,459
436,330,468
132,310,526
126,330,567
66,330,596
92,330,602
134,330,611
135,330,674
140,310,677
1330,190,688
103,310,693
80,310,754
1186,370,792
684,310,809
192,330,811
97,310,816
1257,330,817
248,310,837
133,330,838
94,310,852
677,330,861
613,310,877
430,310,886
1182,310,944
1337,190,952
429,320,976
1199,370,977
1288,370,986
1244,370,989
696,180,137
797,310,152
798,310,271
788,310,321
801,310,454
594,310,554
729,310,843
331,310,893
836,310,924
3785,370,68
3607,320,100
3782,370,103
3606,330,197
3646,370,210
3613,310,214
3578,320,277
3599,310,314
3566,310,326
3609,310,477
3614,310,511
3619,310,539
3598,310,716
3555,310,793
3713,310,834
3612,310,842
3615,310,872
3605,310,875
3558,310,939
1195,340,106
354,330,138
1340,370,146
885,330,161
421,330,209
1278,310,250
1260,320,402
1291,310,523
1152,370,565
1140,350,592
1177,330,633
1280,310,735
803,310,92
1146,330,119
2044,310,189
1083,350,192
415,310,213
761,310,230
2064,310,235
419,330,236
865,310,311
723,310,322
1082,190,323
398,310,357
1065,310,366
2014,310,367
1095,310,520
665,310,751
3749,370,51
3710,190,75
3762,370,80
3572,370,122
3579,370,127
3571,370,193
3793,370,199
3643,370,216
3569,370,217
3751,370,239
3717,370,246
3790,350,274
3795,190,275
3712,370,280
3746,370,281
3744,370,297
3822,370,313
3647,190,355
3727,190,368
3637,370,382
3778,190,431
3568,320,449
3768,370,458
3791,190,555
3649,370,574
3720,180,614
3654,370,641
3567,310,867
338,340,2
811,310,416
844,330,609
714,330,629
348,330,653
362,330,655
336,330,675
424,330,704
67,330,728
668,330,756
845,330,787
428,330,798
766,310,9
1145,350,55
37,310,114
400,350,162
15,310,167
873,310,168
818,310,170
815,310,185
620,320,200
826,310,220
2051,310,244
622,330,305
1098,190,330
692,310,463
2042,330,183
1261,330,298
1124,310,686
1251,310,968
1192,-1,2
1054,-1,3
1059,-1,4
3797,-1,5
1286,-1,6
1303,-1,7
1060,-1,9
1161,-1,10
3780,-1,11
3660,-1,12
922,-1,13
511,-1,14
541,-1,15
510,-1,16
2710,-1,17
6100,-1,18
1309,-1,19
2610,-1,21
538,-1,22
1327,-1,23
532,-1,24
4001,-1,25
998,-1,26
520,-1,27
522,-1,28
8000,-1,29
1326,-1,30
482,-1,31
509,-1,32
4203,-1,33
483,-1,34
1137,-1,35
975,-1,36
627,-1,37
3000,-1,38
4502,-1,39
46,-1,40
4501,-1,41
542,-1,42
1292,-1,43
531,-1,44
504,-1,45
481,-1,46
962,-1,47
